target,text,indices,label
dessert,you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for $t$ .,18,1
pasta dishes,"word of advice , save room for $t$ and never leave until you ' ve had the tiramisu .",7,1
tiramisu,"word of advice , save room for pasta dishes and never leave until you ' ve had the $t$ .",18,1
service,very good $t$ and very good prices .,2,1
prices,very good service and very good $t$ .,6,1
lunch,i recently went to this restaurant with some co - workers for $t$ and had an amazing time .,12,0
service,"the $t$ was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their menu , present your meal , and attend to your needs .",1,1
staff,"the service was impeccable and unobtrusive - - the $t$ knows what they are there to do - - to know their menu , present your meal , and attend to your needs .",9,1
menu,"the service was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their $t$ , present your meal , and attend to your needs .",22,0
meal,"the service was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their menu , present your $t$ , and attend to your needs .",26,0
bagel,ess - a - bagel ( either by sty - town or midtown ) is by far the best $t$ in ny .,19,1
food,our $t$ was great too !,1,1
servers,"the most annoying thing , though , is the fact that the $t$ seem to be trained to drive revenue .",12,-1
food,"get your $t$ to go , find a bench , and kick back with a plate of dumplings .",2,0
plate of dumplings,"get your food to go , find a bench , and kick back with a $t$ .",15,1
filet mignon,"please try the $t$ , its just the most tender piece ever .",3,1
bar,"we were still sitting at the $t$ while we drank the sangria , but facing away from the bar when we turned back around , the $2 was gone the people next to us said the bartender took it .",6,0
sangria,"we were still sitting at the bar while we drank the $t$ , but facing away from the bar when we turned back around , the $2 was gone the people next to us said the bartender took it .",11,0
bar,"we were still sitting at the bar while we drank the sangria , but facing away from the $t$ when we turned back around , the $2 was gone the people next to us said the bartender took it .",18,0
bartender,"we were still sitting at the bar while we drank the sangria , but facing away from the bar when we turned back around , the $2 was gone the people next to us said the $t$ took it .",36,-1
sake menu,the $t$ should not be overlooked !,1,1
drinks,the $t$ are amazing and half off till 8pm .,1,1
beef cubes,i ' ve been back to nha trang literally a hundred times for the $t$ - they ' re that good .,14,1
service,"the $t$ , wine selection , ambiance are all outstanding and deserve recognition .",1,1
wine selection,"the service , $t$ , ambiance are all outstanding and deserve recognition .",3,1
ambiance,"the service , wine selection , $t$ are all outstanding and deserve recognition .",6,1
reservations,"we were seated promptly as we had $t$ , however after that the service was slow .",7,1
service,"we were seated promptly as we had reservations , however after that the $t$ was slow .",13,-1
service,"it ' s really also the $t$ , is good and the waiters are friendly .",6,1
waiters,"it ' s really also the service , is good and the $t$ are friendly .",12,1
portions,"the food was pretty good , but a little flavorless and the $t$ very small , including dessert .",12,-1
dessert,"the food was pretty good , but a little flavorless and the portions very small , including $t$ .",17,-1
traffic noise,"it is set far from the small street it ' s on , and there is no $t$ .",17,1
food,lived in shanghai most of my life and thought the $t$ was comparable to the flagship green bo restaurant there .,10,1
food,"i highly recommend cafe st . bart ' s for their $t$ , the ambience and wonderful service .",11,1
ambience,"i highly recommend cafe st . bart ' s for their food , the $t$ and wonderful service .",14,1
service,"i highly recommend cafe st . bart ' s for their food , the ambience and wonderful $t$ .",17,1
dinner meeting,this is a nice restaurant if you are looking for a good place to host an intimate $t$ with business associates .,17,0
atmosphere,all the nyu students love this place so it makes for a fun young $t$ .,14,1
food,the $t$ here does a great service to the name ( cantonese that is . . . ) .,1,1
cooking,"but , nothing stands out about the $t$ .",7,0
food,joya used to be a cool spot with decent $t$ and a colorful - if not relaxed - atmosphere .,9,1
atmosphere,joya used to be a cool spot with decent food and a colorful - if not relaxed - $t$ .,18,1
prix fixe menu,the $t$ is worth every penny and you get more than enough ( both in quantity and quality ) .,1,1
quantity,the prix fixe menu is worth every penny and you get more than enough ( both in $t$ and quality ) .,17,1
quality,the prix fixe menu is worth every penny and you get more than enough ( both in quantity and $t$ ) .,19,1
lunch,i ' ve been here 3 times for $t$ and it is one of my favorites in the city .,8,0
eggs benedict,"i had their $t$ for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was .",3,-1
brunch,"i had their eggs benedict for $t$ , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was .",6,0
hollondaise sauce,"i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the $t$ completely that was how failed it was .",21,-1
oatmeal,"i work near - by , and they have the best $t$ in the neighborhood - not a packaged or quick - cooked item .",11,1
food,too bad the $t$ wasn ' t of the same heritage .,3,-1
menu,"the $t$ looked good , except for offering the chilean sea bass , but the server does not offer up the specials that were written on the board outside .",1,1
chilean sea bass,"the menu looked good , except for offering the $t$ , but the server does not offer up the specials that were written on the board outside .",9,-1
server,"the menu looked good , except for offering the chilean sea bass , but the $t$ does not offer up the specials that were written on the board outside .",15,-1
specials,"the menu looked good , except for offering the chilean sea bass , but the server does not offer up the $t$ that were written on the board outside .",21,0
food,"the $t$ was really good , i had the onion soup and it was one of the best ever .",1,1
onion soup,"the food was really good , i had the $t$ and it was one of the best ever .",9,1
wine,"overall , a solid restaurant and at less than $40pp ( including $t$ ) , a solid deal as well .",12,0
staff,"since it literally is a complete hole in the wall , it ' s a bit intimidating at first , but you get over that very quickly as soon as the friendly $t$ welcomes you - don ' t hesitate to ask for help with what to get .",32,1
dinner,"based on the reviews for $t$ , this is a place i would reconsider revisiting for that , but definitely not for dim sum again .",5,1
dim sum,"based on the reviews for dinner , this is a place i would reconsider revisiting for that , but definitely not for $t$ again .",22,-1
roll,"it costs $2 extra to turn a regular $t$ into an inside - out roll , but the roll more than triples in size , and that ' s not just from the rice .",8,-1
roll,"it costs $2 extra to turn a regular roll into an inside - out $t$ , but the roll more than triples in size , and that ' s not just from the rice .",14,-1
roll,"it costs $2 extra to turn a regular roll into an inside - out roll , but the $t$ more than triples in size , and that ' s not just from the rice .",18,-1
rice,"it costs $2 extra to turn a regular roll into an inside - out roll , but the roll more than triples in size , and that ' s not just from the $t$ .",33,0
gin and tonic,"when he finally did , he was unable to make a $t$ - - couldn ' t find tonic .",11,0
tonic,"when he finally did , he was unable to make a gin and tonic - - couldn ' t find $t$ .",20,0
dim sum,"the $t$ is ok but doesn ' t taste that fresh , and the little dishes don ' t look steamy hot as they should ( also note lack of chinese here ) .",1,-1
little dishes,"the dim sum is ok but doesn ' t taste that fresh , and the $t$ don ' t look steamy hot as they should ( also note lack of chinese here ) .",15,-1
service,"the $t$ is ok , some of the people didn ' t get what they asked for .",1,0
thai,if you want good authentic $t$ this place is not the place to go .,5,-1
reservation,i recommend getting a $t$ even though we saw people seated without one .,4,0
